id,System,Month,AREA,Site,Oper,Factor,Target,Value,,,,,,
1,GMS,202501,PKG,IC,B/G,투자가동률,실적,0.0902,,,,,,
2,GMS,202501,PKG,IC,B/G,No Wip,실적,0.0266,,,,,,
3,GMS,202501,PKG,IC,B/G,Linearity,실적,0.9500,,,,,,
4,GMS,202501,PKG,IC,B/G,Loss,실적,0.9098 ,,,,,,
5,GMS,202501,PKG,IC,WSD,투자가동률,실적,0.4400,,,,,,
6,GMS,202501,PKG,IC,WSD,No Wip,실적,0.3447,,,,,,
7,GMS,202501,PKG,IC,WSD,Linearity,실적,0.9500,,,,,,
8,GMS,202501,PKG,IC,WSD,Loss,실적,0.5600 ,,,,,,
9,GMS,202501,PKG,IC,W/S,투자가동률,실적,0.3901,,,,,,
10,GMS,202501,PKG,IC,W/S,No Wip,실적,0.1605,,,,,,
11,GMS,202501,PKG,IC,W/S,Linearity,실적,0.9500,,,,,,
12,GMS,202501,PKG,IC,W/S,Loss,실적,0.6099 ,,,,,,
13,GMS,202501,PKG,IC,D/A,투자가동률,실적,0.9062,,,,,,
14,GMS,202501,PKG,IC,D/A,No Wip,실적,0.8321,,,,,,
15,GMS,202501,PKG,IC,D/A,Linearity,실적,0.9500,,,,,,
16,GMS,202501,PKG,IC,D/A,Loss,실적,0.0938 ,,,,,,
17,GMS,202501,PKG,IC,FCB,투자가동률,실적,0.3282,,,,,,
18,GMS,202501,PKG,IC,FCB,No Wip,실적,0.2413,,,,,,
19,GMS,202501,PKG,IC,FCB,Linearity,실적,0.9500,,,,,,
20,GMS,202501,PKG,IC,FCB,Loss,실적,0.6718 ,,,,,,
21,GMS,202501,PKG,IC,W/B,투자가동률,실적,0.1373,,,,,,
22,GMS,202501,PKG,IC,W/B,No Wip,실적,0.0792,,,,,,
23,GMS,202501,PKG,IC,W/B,Linearity,실적,0.9500,,,,,,
24,GMS,202501,PKG,IC,W/B,Loss,실적,0.8627 ,,,,,,
25,GMS,202501,PKG,IC,M/D,투자가동률,실적,0.1291,,,,,,
26,GMS,202501,PKG,IC,M/D,No Wip,실적,0.0939,,,,,,
27,GMS,202501,PKG,IC,M/D,Linearity,실적,0.9500,,,,,,
28,GMS,202501,PKG,IC,M/D,Loss,실적,0.8709 ,,,,,,
29,GMS,202501,PKG,IC,M/K,투자가동률,실적,0.2331,,,,,,
30,GMS,202501,PKG,IC,M/K,No Wip,실적,0.2075,,,,,,
31,GMS,202501,PKG,IC,M/K,Linearity,실적,0.9500,,,,,,
32,GMS,202501,PKG,IC,M/K,Loss,실적,0.7669 ,,,,,,
33,GMS,202501,PKG,IC,SBM,투자가동률,실적,0.5837,,,,,,
34,GMS,202501,PKG,IC,SBM,No Wip,실적,0.2051,,,,,,
35,GMS,202501,PKG,IC,SBM,Linearity,실적,0.9500,,,,,,
36,GMS,202501,PKG,IC,SBM,Loss,실적,0.4163 ,,,,,,
37,GMS,202501,PKG,IC,S/G,투자가동률,실적,0.2915,,,,,,
38,GMS,202501,PKG,IC,S/G,No Wip,실적,0.1393,,,,,,
39,GMS,202501,PKG,IC,S/G,Linearity,실적,0.9500,,,,,,
40,GMS,202501,PKG,IC,S/G,Loss,실적,0.7085 ,,,,,,
41,EMS,202501,PKG,IC,B/G,투자가동률,실적,0.9964,,,,,,
42,EMS,202501,PKG,IC,B/G,No Wip,실적,0.0650,,,,,,
43,EMS,202501,PKG,IC,B/G,Linearity,실적,0.9500,,,,,,
44,EMS,202501,PKG,IC,B/G,Loss,실적,0.0036 ,,,,,,
45,EMS,202501,PKG,IC,WSD,투자가동률,실적,0.5447,,,,,,
46,EMS,202501,PKG,IC,WSD,No Wip,실적,0.0693,,,,,,
47,EMS,202501,PKG,IC,WSD,Linearity,실적,0.9500,,,,,,
48,EMS,202501,PKG,IC,WSD,Loss,실적,0.4553 ,,,,,,
49,EMS,202501,PKG,IC,W/S,투자가동률,실적,0.5363,,,,,,
50,EMS,202501,PKG,IC,W/S,No Wip,실적,0.2865,,,,,,
51,EMS,202501,PKG,IC,W/S,Linearity,실적,0.9500,,,,,,
52,EMS,202501,PKG,IC,W/S,Loss,실적,0.4637 ,,,,,,
53,EMS,202501,PKG,IC,D/A,투자가동률,실적,0.6639,,,,,,
54,EMS,202501,PKG,IC,D/A,No Wip,실적,0.2121,,,,,,
55,EMS,202501,PKG,IC,D/A,Linearity,실적,0.9500,,,,,,
56,EMS,202501,PKG,IC,D/A,Loss,실적,0.3361 ,,,,,,
57,EMS,202501,PKG,IC,FCB,투자가동률,실적,0.1732,,,,,,
58,EMS,202501,PKG,IC,FCB,No Wip,실적,0.0737,,,,,,
59,EMS,202501,PKG,IC,FCB,Linearity,실적,0.9500,,,,,,
60,EMS,202501,PKG,IC,FCB,Loss,실적,0.8268 ,,,,,,
61,EMS,202501,PKG,IC,W/B,투자가동률,실적,0.0063,,,,,,
62,EMS,202501,PKG,IC,W/B,No Wip,실적,0.0019,,,,,,
